City	Country	Nickname, comma seperated EDIT HERE, free form list	Nickname, default	Nickname, metro (div)	Someone from here is called	Plural form (demonym)	Type	Scale	Megacity	State or province	Lat	Long	GeoNamesID
Boulder City	United States of America						Populated place	7	0	Nevada	35.98	-114.83	5500539
Bowling Green	United States of America	Vette City	Vette City				Populated place	7	0	Kentucky	36.99	-86.44	4285268
Bowling Green	United States of America						Populated place	8	0	Ohio	41.37	-83.65	5147968
Bozeman	United States of America						Populated place	7	0	Montana	45.68	-111.04	5641727
Brainerd	United States of America						Populated place	8	0	Minnesota	46.36	-94.2	5019116
Brandon	Canada	The Wheat City											
Brasilia	Brazil				Brasiliense	Brasilienses	Admin-0 capital	1	1	Distrito Federal	-15.78	-47.92	3469058
Bratislava	Slovakia	Blava	Blava		Bratislavan	Bratislavan	Admin-0 capital	4	0	Bratislavský	48.15	17.12	3060972
Bratsk	Russia						Populated place	3	0	Irkutsk	56.16	101.62	2051523
Brazzaville	Congo (Brazzaville)						Admin-0 capital	3	1	Pool	-4.26	15.28	2260535
Breda	Netherlands	Haagje van het Zuiden, Kielegat, Parel van het Zuiden								Noord-Brabant			
Bremerton	United States of America						Populated place	7	0	Washington	47.57	-122.64	5788054
Bridgeport	United States of America	The Park City, The Port, B-Port, BPT					Populated place	4	1	Connecticut	41.18	-73.2	5282804
Bridgetown	Barbados						Admin-0 capital	4	0	Saint Michael	13.1	-59.62	2075807
Brisbane	Australia	Brissie, Brisvegas, Bris, Brizzy	Brissie		Brisbanite, Brisvegan, Brisso, Brisbanian	Brisbanians (Brisbanites, Briswegians, Brisvegans)	Admin-1 capital	3	1	Queensland	-27.46	153.04	2174003
Bristol	United States of America				Bristolian		Populated place	7	0	Virginia	36.61	-82.18	4608657
Brookings	United States of America						Populated place	7	0	South Dakota	44.31	-96.79	5226534
Brownsville	United States of America						Populated place	6	0	Texas	25.92	-97.5	4676740
Brownwood	United States of America						Populated place	8	0	Texas	31.71	-98.98	4676798
Brunswick	United States of America						Populated place	6	0	Georgia	31.15	-81.49	4184845
Brussels	Belgium	Capital of Europe				Bruxellois, Brusselaar, Brusseleer	Admin-0 capital	1	1	Brussels	50.83	4.33	2800866
Bryan	United States of America						Populated place	8	0	Texas	30.67	-96.37	4677008
Bucaramanga	Colombia	La ciudad de los parques, City of Parks					Admin-1 capital	6	1	Santander	7.13	-73.13	3688465
Bucharest	Romania	The Little Paris					Admin-0 capital	1	1	Bucharest	44.43	26.1	683506
Budapest	Hungary	Pearl of the Danube			Budapesti	Budapesters	Admin-0 capital	1	1	Budapest	47.5	19.08	3054643
Buenos Aires	Argentina	The Paris of South America, Queen of the Plata			Porteño	Porteños	Admin-0 capital	1	1	Ciudad de Buenos Aires	-34.6	-58.4	3435910
Buffalo	United States of America	Bison City, Queen City, The City of Good Neighbors, The Queen City of the Great Lakes	Bison City		Buffalonian	Buffalonians	Populated place	3	1	New York	42.88	-78.88	5110629
Bujumbura	Burundi						Admin-0 capital	4	0	Bujumbura Mairie	-3.38	29.36	425378
Bulawayo	Zimbabwe						Populated place	3	0	Bulawayo	-20.17	28.58	894701
Bullhead City	United States of America						Populated place	7	0	Arizona	35.15	-114.57	5287565
Bumba	Congo (Kinshasa)						Populated place	3	0	Équateur	2.19	22.46	217745
Burbank	United States of America	Media Capital of the World					Populated place			California			
Burley	United States of America						Populated place	8	0	Idaho	42.54	-113.79	5587385
Burlington	United States of America	Backhoe Capital of the World, BurVegas (NC)	Backhoe Capital of the World				Populated place	7	0	Iowa	40.81	-91.11	4849826
Burlington	United States of America	The Queen City					Populated place	4	0	Vermont	44.48	-73.21	5234372
Bursa	Turkey						Admin-1 capital	4	1	Bursa	40.2	29.07	750269
Busan	South Korea						Admin-1 capital	4	1	Busan	35.1	129.01	1838524
Butte	United States of America	The Richest Hill on Earth	Richest Hill on Earth				Populated place	6	0	Montana	46	-112.53	5642934
Cadillac	United States of America						Populated place	7	0	Michigan	44.25	-85.41	4987617
Cairo	Egypt	The city of a thousand minarets, Paris on the Nile, The City Victorious, The Big Mango			Cairene	Cairenes	Admin-0 capital	1	1	Al Qahirah	30.05	31.25	360630
Calais	United States of America						Populated place	8	0	Maine	45.17	-67.24	4959834
Caldwell	United States of America						Populated place	7	0	Idaho	43.66	-116.67	5587698
Calgary	Canada	Cowtown, C-Town, Stampede City, Canada's oil capital, Heart of The New West, The city of blue-eyed sheikhs	Cow Town		Calgarian	Calgarians	Populated place	3	1	Alberta	51.08	-114.08	5913490
Cali	Colombia						Admin-1 capital	1	1	Valle del Cauca	3.4	-76.5	3687925
Cambridge	United States of America	The People's Republic of Cambridge					Populated place			Massachusetts			
Campinas	Brazil				Campineiro	Campineiros	Populated place	4	1	São Paulo	-22.9	-47.1	3467865
Campo Grande	Brazil						Admin-1 capital	3	1	Mato Grosso do Sul	-20.45	-54.62	3467747
Canberra	Australia	The Hole			Canberran	Canberrans	Admin-0 capital	3	0	Australian Capital Territory	-35.28	149.13	2172517
Cancun	Mexico				cancunense		Populated place	3	0	Quintana Roo	21.17	-86.83	3531673
Canton	United States of America						Populated place	6	0	Ohio	40.8	-81.38	5149222
Cantwell	United States of America						Populated place	8	0	Alaska	63.39	-148.95	-1
Cape Coral	United States of America						Populated place	7	0	Florida	26.6	-81.98	4149962
Cape Girardeau	United States of America						Populated place	8	0	Illinois	37.31	-89.52	4379966
Cape Town	South Africa	The Mother City			Capetonian	Capetonians	Admin-0 capital	1	1	Western Cape	-33.92	18.43	3369157
Caracas	Venezuela	Santiago de León de Caracas, La Sultana del Ávila, The Avila's Sultana, La Sucursal del Cielo, Heaven's Branch on Earth, la ciudad de los techos rojos, the city of red roofs					Admin-0 capital	1	1	Distrito Capital	10.5	-66.92	3646738
Carbondale	United States of America						Populated place	7	0	Illinois	37.73	-89.22	4235193
Cardiff	United Kingdom	The Diff	The Diff		Cardiffer, Cardiffian		Admin-1 capital	6	0	Cardiff	51.5	-3.23	2172349
Carlsbad	United States of America						Populated place	6	0	New Mexico	32.42	-104.23	5460459
Carson City	United States of America						Admin-1 capital	6	0	Nevada	39.16	-119.77	5501344
Cartagena	Colombia	La Heroica, The heroic city					Admin-1 capital	3	1	Bolívar	10.4	-75.51	3687238
Casa Grande	United States of America						Populated place	8	0	Arizona	32.88	-111.76	5288636
Casablanca	Morocco						Admin-1 capital	1	1	Grand Casablanca	33.6	-7.62	2553604
Casper	United States of America	The Oil City					Populated place	4	0	Wyoming	42.87	-106.31	5820705
Castries	Saint Lucia						Admin-0 capital	4	0		14	-61	3028258
Caxias	Brazil						Populated place	3	0	Maranhão	-4.83	-43.35	-1
Cayenne	France						Populated place	3	0	Guinaa	4.93	-52.33	3382160
Cebu	Philippines	Queen City of the South					Populated place	3	1	Cebu	10.32	123.9	1717512
Cedar City	United States of America						Populated place	7	0	Utah	37.68	-113.06	5536630
Cedar Rapids	United States of America	City of Five Smells, City of Five Seasons					Populated place	6	0	Iowa	41.97	-91.66	4850751
Centralia	United States of America						Populated place	8	0	Washington	46.72	-122.95	5789683
Chadron	United States of America						Populated place	7	0	Nebraska	42.83	-103	5694163
Chandigarh	India						Admin-1 capital	4	1	Chandigarh	30.72	76.78	1274746
Changchun	China						Admin-1 capital	1	1	Jilin	43.87	125.34	2038180
Changde	China						Populated place	6	1	Hunan	29.03	111.68	1791121
Changsha	China						Admin-1 capital	1	1	Hunan	28.2	112.97	1815577
Changzhou	China						Populated place	6	1	Jiangsu	31.78	119.97	1815456
Charleston	United States of America	Palmetto City, The Big Sweet Grass Basket, The Holy City, New York of the South	Palmetto City				Populated place	6	0	South Carolina	32.79	-79.99	4574324
Charleston	United States of America	Home of Hospitality, The most northern city of the South and the most southern city of the North, Chemical Valley, The Capital City, Charly West, America's Most Historic City					Admin-1 capital	4	0	West Virginia	38.35	-81.63	4801859
Charlotte	United States of America	The Queen City, Hornets Nest, CNC, Greater Charlotte, GC					Populated place	6	1	North Carolina	35.2	-80.83	4460243
Charlottesville	United States of America	Cville, Hooville, The Hook, Birthplace of Presidents	Cville				Populated place	6	0	Virginia	38.03	-78.48	4752031
Charlottetown	Canada						Admin-1 capital	3	0	Prince Edward Island	46.25	-63.13	5920288
